Year,Driver
1950,GiuseppeFarina(ITA)
1951,JuanManuelFangio(ARG)
1952,AlbertoAscari(ITA)
1953,AlbertoAscari(ITA)
1954,JuanManuelFangio(ARG)
1955,JuanManuelFangio(ARG)
1956,JuanManuelFangio(ARG)
1957,JuanManuelFangio(ARG)
1958,MikeHawthorn(GBR)
1959,JackBrabham(AUS)
1960,JackBrabham(AUS)
1961,PhilHill(USA)
1962,GrahamHill(GBR)
1963,JimClark(GBR)
1964,JohnSurtees(GBR)
1965,JimClark(GBR)
1966,JackBrabham(AUS)
1967,DenisHulme(NZL)
1968,GrahamHill(GBR)
1969,JackieStewart(GBR)
1970,JochenRindt(AUT)
1971,JackieStewart(GBR)
1972,EmersonFittipaldi(BRA)
1973,JackieStewart(GBR)
1974,EmersonFittipaldi(BRA)
1975,NikiLauda(AUT)
1976,JamesHunt(GBR)
1977,NikiLauda(AUT)
1978,MarioAndretti(USA)
1979,JodyScheckter(RSA)
1980,AlanJones(AUS)
1981,NelsonPiquet(BRA)
1982,KekeRosberg(FIN)
1983,NelsonPiquet(BRA)
1984,NikiLauda(AUT)
1985,AlainProst(FRA)
1986,AlainProst(FRA)
1987,NelsonPiquet(BRA)
1988,AyrtonSenna(BRA)
1989,AlainProst(FRA)
1990,AyrtonSenna(BRA)
1991,AyrtonSenna(BRA)
1992,NigelMansell(GBR)
1993,AlainProst(FRA)
1994,MichaelSchumacher(GER)
1995,MichaelSchumacher(GER)
1996,DamonHill(GBR)
1997,JacquesVilleneuve(CAN)
1998,MikaHäkkinen(FIN)
1999,MikaHäkkinen(FIN)
2000,MichaelSchumacher(GER)
2001,MichaelSchumacher(GER)
2002,MichaelSchumacher(GER)
2003,MichaelSchumacher(GER)
2004,MichaelSchumacher(GER)
2005,FernandoAlonso(SPA)
2006,FernandoAlonso(SPA)
2007,KimiRäikkönen(FIN)
2008,LewisHamiltonGBR)
2009,JensonButtonGBR)
2010,SebastianVettel(GER)
2011,SebastianVettel(GER)
2012,SebastianVettel(GER)
2013,SebastianVettel(GER)
2014,LewisHamilton(GBR)
2015,LewisHamilton(GBR)
2016,NicoRosberg(GER)
2017,LewisHamilton(GBR)
2018,LewisHamilton(GBR)
2019,LewisHamilton(GBR)
2020,LewisHamilton(GBR)
2021,MaxVerstappen(NED)
2022,MaxVerstappen(NED)
